"_time",user,cmdline,name,"parent_name",pid,ppid,path,"parent_path"
"2024-02-02T18:16:05.000+0300",johndoe,"sc  qc ""SCardSvr"" ","sc.exe","cmd.exe",0x2a14,0x5ac,"C:\Windows\System32\sc.exe","C:\Windows\System32\cmd.exe"
"2024-02-02T18:16:05.000+0300",johndoe,"C:\Windows\system32\cmd.exe /c sc qc ""SCardSvr"" | findstr BINARY_PATH_NAME | findstr /i /v /l /c:""c:\windows\system32"" | findstr /v /c:""""""""","cmd.exe","cmd.exe",0x5ac,0x264,"C:\Windows\System32\cmd.exe","C:\Windows\System32\cmd.exe"
"2024-02-02T18:16:05.000+0300",johndoe,"findstr  /v /c:""""""""","findstr.exe","cmd.exe",0x188c,0x28fc,"C:\Windows\System32\findstr.exe","C:\Windows\System32\cmd.exe"
"2024-02-02T18:16:05.000+0300",johndoe,"findstr  /i /v /l /c:""c:\windows\system32"" ","findstr.exe","cmd.exe",0x9b0,0x28fc,"C:\Windows\System32\findstr.exe","C:\Windows\System32\cmd.exe"
"2024-02-02T18:16:05.000+0300",johndoe,"findstr  BINARY_PATH_NAME ","findstr.exe","cmd.exe",0x2d4c,0x28fc,"C:\Windows\System32\findstr.exe","C:\Windows\System32\cmd.exe"
"2024-02-02T18:16:05.000+0300",johndoe,"sc  qc ""SamSs"" ","sc.exe","cmd.exe",0x87c,0x28fc,"C:\Windows\System32\sc.exe","C:\Windows\System32\cmd.exe"
"2024-02-02T18:16:05.000+0300",johndoe,"C:\Windows\system32\cmd.exe /c sc qc ""SamSs"" | findstr BINARY_PATH_NAME | findstr /i /v /l /c:""c:\windows\system32"" | findstr /v /c:""""""""","cmd.exe","cmd.exe",0x28fc,0x264,"C:\Windows\System32\cmd.exe","C:\Windows\System32\cmd.exe"
"2024-02-02T18:16:05.000+0300",johndoe,"findstr  /v /c:""""""""","findstr.exe","cmd.exe",0x64c,0x2a30,"C:\Windows\System32\findstr.exe","C:\Windows\System32\cmd.exe"
"2024-02-02T18:16:05.000+0300",johndoe,"findstr  /i /v /l /c:""c:\windows\system32"" ","findstr.exe","cmd.exe",0x1324,0x2a30,"C:\Windows\System32\findstr.exe","C:\Windows\System32\cmd.exe"
"2024-02-02T18:16:05.000+0300",johndoe,"findstr  BINARY_PATH_NAME ","findstr.exe","cmd.exe",0x2d9c,0x2a30,"C:\Windows\System32\findstr.exe","C:\Windows\System32\cmd.exe"
"2024-02-02T18:16:05.000+0300",johndoe,"sc  qc ""RpcSs"" ","sc.exe","cmd.exe",0x14a0,0x2a30,"C:\Windows\System32\sc.exe","C:\Windows\System32\cmd.exe"
"2024-02-02T18:16:05.000+0300",johndoe,"C:\Windows\system32\cmd.exe /c sc qc ""RpcSs"" | findstr BINARY_PATH_NAME | findstr /i /v /l /c:""c:\windows\system32"" | findstr /v /c:""""""""","cmd.exe","cmd.exe",0x2a30,0x264,"C:\Windows\System32\cmd.exe","C:\Windows\System32\cmd.exe"
"2024-02-02T18:16:05.000+0300",johndoe,"findstr  /v /c:""""""""","findstr.exe","cmd.exe",0x217c,0xe78,"C:\Windows\System32\findstr.exe","C:\Windows\System32\cmd.exe"
"2024-02-02T18:16:05.000+0300",johndoe,"findstr  /i /v /l /c:""c:\windows\system32"" ","findstr.exe","cmd.exe",0x1cbc,0xe78,"C:\Windows\System32\findstr.exe","C:\Windows\System32\cmd.exe"
"2024-02-02T18:16:05.000+0300",johndoe,"findstr  BINARY_PATH_NAME ","findstr.exe","cmd.exe",0x1e30,0xe78,"C:\Windows\System32\findstr.exe","C:\Windows\System32\cmd.exe"
"2024-02-02T18:16:05.000+0300",johndoe,"sc  qc ""RpcLocator"" ","sc.exe","cmd.exe",0x1dd8,0xe78,"C:\Windows\System32\sc.exe","C:\Windows\System32\cmd.exe"
